Date,Open,High,Low,Close,Adj Close,Volume
1/9/2018,931,934.924988,927.5,931.849976,914.216248,2652764
1/10/2018,932.599976,933.950012,928.650024,932.099976,914.461487,2307944
1/11/2018,932.099976,938,928.125,936.275024,918.557617,2029548
1/12/2018,936.5,939.075012,930,932.650024,915.00116,2168354
1/15/2018,934.974976,952.200012,929.924988,948.875,930.919128,6288222
1/16/2018,951.724976,955,942.625,950.075012,932.096436,3222692
1/17/2018,948.5,951.275024,943.5,945.25,927.362732,1452748
1/18/2018,962,977,959.025024,967.150024,948.848267,8324770
1/19/2018,967.575012,979.950012,959.625,976.099976,957.628906,5727994
1/22/2018,980,994,976.575012,981.674988,963.098389,4424884
1/23/2018,982.5,983.349976,971.650024,975.650024,957.187439,2523898
1/24/2018,976.275024,984.5,975.299988,978.825012,960.302429,2395284
1/25/2018,976.950012,990,975.25,987.474976,968.788635,4361834
1/29/2018,989,1003.474976,989,999.825012,980.905029,4117946
1/30/2018,998.900024,1000.950012,992.075012,997.75,978.869263,3198780
1/31/2018,994.700012,1006.75,993.5,1002.849976,983.872681,3471674
2/1/2018,1003,1007.5,992.650024,995.575012,976.735352,3260710
2/2/2018,993,994.950012,970.75,974,955.568665,3673062
2/5/2018,959,967.625,952.924988,956.924988,938.816711,3963392
2/6/2018,930,956,918.150024,948.400024,930.453064,5374902
2/7/2018,953.5,953.5,931.200012,936.400024,918.680176,4182486
2/8/2018,942,949.299988,933.25,940.474976,922.67804,2585722
2/9/2018,923.950012,932.349976,922.049988,924.75,907.25061,3204476
2/12/2018,930,943,927.575012,938.325012,920.568787,2190554
2/14/2018,944.900024,948.950012,937.325012,941.575012,923.757263,1788594
2/15/2018,944.849976,947.375,937.5,940.950012,923.144104,2457612
2/16/2018,941.950012,947.424988,937.825012,939.299988,921.52533,1791760
2/19/2018,941.299988,943.799988,929.525024,939.099976,921.329041,1827276
2/20/2018,942.375,942.924988,929.400024,931.599976,913.971008,2042034
2/21/2018,933.974976,934.275024,926.099976,928.700012,911.125854,1376536
2/22/2018,925,930,920.775024,926.599976,909.065613,6626798
2/23/2018,928.450012,942.424988,925.200012,940.275024,922.481873,2038374
2/26/2018,944.049988,957.400024,941.775024,955.775024,937.688538,2394442
2/27/2018,957.375,960.875,950,951.275024,933.273743,2393664
2/28/2018,944.775024,947.724976,939,942.099976,924.272278,2033182
3/1/2018,939.650024,946.650024,934,937.174988,919.440552,1954920
3/5/2018,937.075012,939,929.125,934.974976,917.282166,1890732
3/6/2018,935,939.950012,919.75,923.125,905.656372,2288414
3/7/2018,920,926.700012,914.25,916.299988,898.96051,2814082
3/8/2018,919.900024,929.25,916,926.424988,908.893921,2759362
3/9/2018,927.474976,932.625,922,925.525024,908.011047,2054054
3/12/2018,930.099976,934.724976,926.700012,933.625,915.957703,3278558
3/13/2018,933.724976,942.375,927.5,930.125,912.523926,2562100
3/14/2018,928,933.950012,924,932.25,914.608704,1840196
3/15/2018,932.599976,943.75,932.599976,940.400024,922.604553,2935462
3/16/2018,940,940.549988,923.275024,926.5,908.967529,3948168
3/19/2018,926.5,930,921.575012,923.625,906.146973,3919370
3/20/2018,922.549988,927.950012,917.625,919.75,902.345276,1828686
3/21/2018,924,931.599976,921.650024,929.450012,911.861755,2960570
3/22/2018,929.450012,940,927.549988,933.875,916.203003,3336612
3/23/2018,923.325012,926.549988,918.625,920.775024,903.350891,3595076
3/26/2018,919.950012,950,916.75,946.724976,928.809692,5250884
3/27/2018,946.900024,949.5,938,946.299988,928.392822,3068418
3/28/2018,941.474976,949.849976,938.025024,943.049988,925.204346,4418754
4/2/2018,945.25,967.875,945.25,965.599976,947.327576,2298184
4/3/2018,961.974976,962.849976,955.5,957.950012,939.822388,2039942
4/4/2018,956.474976,962.474976,939.224976,941.625,923.806274,1857054
4/5/2018,950.650024,957,945.099976,954.450012,936.388611,2429446
4/6/2018,956.099976,963.224976,952.900024,961.700012,943.501465,1860004
4/9/2018,959.400024,971,958.200012,969.525024,951.178345,2001768
4/10/2018,971.5,971.5,956.75,960.424988,942.250549,3033618
4/11/2018,957.950012,960,952.700012,959.424988,941.269409,1435406
4/12/2018,958,966.450012,952.950012,964.400024,946.15033,2356258
4/13/2018,964,970,959.549988,962.5,944.286255,1648586
4/16/2018,960,975,959.924988,971.049988,952.674438,1423872
4/17/2018,971.75,975.5,967.049988,974.25,955.813904,1333916
4/18/2018,975.5,976.75,965.025024,966.299988,948.014404,1356360
4/19/2018,970,972.400024,966.5,969.5,951.153809,1584516
4/20/2018,970.5,980.5,966.075012,977.950012,959.443848,4680690
4/23/2018,989.5,989.5,930.150024,967.875,949.559631,7652310
4/24/2018,967.5,974.025024,963,967.5,949.19165,2518708
4/25/2018,963.950012,969,956,960.375,942.201538,2010296
4/26/2018,958.400024,969.599976,955.625,965.125,946.861572,3923740
4/27/2018,966.5,967.75,956.25,961.700012,943.501465,2888504
4/30/2018,965,977.400024,964.400024,972.150024,953.753662,2304776
5/2/2018,975,989,973,984.75,966.115234,3550024
5/3/2018,984.025024,987.450012,973,983.950012,965.330322,2076386
5/4/2018,985,995,983.150024,994.25,975.435425,3440718
5/7/2018,990.825012,993.650024,987.5,988.700012,969.99054,2632064
5/8/2018,989.625,989.950012,977.299988,983.525024,964.913452,3550282
5/9/2018,978.075012,990.25,978.075012,989.200012,970.481018,2163666
5/10/2018,994.299988,999.5,991,996.349976,977.495667,3585836
5/11/2018,996.349976,1008.5,993,1005.875,986.840454,3028534
5/14/2018,1008.599976,1013.700012,1006.200012,1010.875,991.74585,2371458
